month,gross_return,net_return,turnover,invested,weight_SPY,strategy,market,weight_QQQ,weight_069500.KS,weight_229200.KS
2022-09-01,-0.038685635971868026,-0.038685635971868026,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-10-01,0.07483408877877706,0.07483408877877706,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-11-01,-0.015897763612530702,-0.015897763612530702,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-12-01,-0.1039231763919155,-0.1039231763919155,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-01-01,0.038631735531192035,0.038631735531192035,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-02-01,0.04360784035605736,0.04360784035605736,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-03-01,0.019889612765353837,0.019889612765353837,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-04-01,0.0495846954612027,0.0495846954612027,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-05-01,-0.010084783457908864,-0.010084783457908864,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-06-01,0.0674460039758511,0.0674460039758511,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-07-01,-0.006825246738992874,-0.006825246738992874,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-08-01,0.022900230959876255,0.022900230959876255,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-09-01,-0.029564481200174075,-0.029564481200174075,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-10-01,-0.021549004594819565,-0.021549004594819565,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-11-01,0.04300512191060335,0.04300512191060335,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2023-12-01,0.03711709307661959,0.03711709307661959,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-01-01,0.05470817585944898,0.05470817585944898,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-02-01,0.05754855370952172,0.05754855370952172,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-03-01,0.045419209140698635,0.045419209140698635,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-04-01,-0.022658918467428735,-0.022658918467428735,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-05-01,0.05132874565357359,0.05132874565357359,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-06-01,0.04380692259795116,0.04380692259795116,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-07-01,0.009591442400640693,0.009591442400640693,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2024-08-01,-0.014077644122161392,-0.014077644122161392,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
