strategy,market,asset,signal_date,entry_date,exit_date,signal_value,gross_pct,net_pct
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-27,2011-10-28,2011-10-28,2.758843356529539,-1.1666342601594493,-1.3766342601594492
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-11-03,2011-11-04,2011-11-04,2.0731140987372942,1.5628130635143345,1.3528130635143345
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-11-08,2011-11-09,2011-11-09,1.1509918300948163,-0.4761904761904634,-0.6861904761904634
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-11-11,2011-11-14,2011-11-14,1.8844595973108502,0.8294557960752513,0.6194557960752514
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-11-15,2011-11-16,2011-11-16,1.1132518850503592,-2.3124874321335143,-2.5224874321335142
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-11-28,2011-11-29,2011-11-29,3.4796140683597043,1.7248545303408136,1.5148545303408136
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-11-30,2011-12-01,2011-12-01,3.696185081035308,0.11857707509881354,-0.09142292490118645
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-12-05,2011-12-06,2011-12-06,1.0950050873486328,-0.8681925808997737,-1.0781925808997737
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-12-09,2011-12-12,2011-12-12,1.6036828566102557,-0.02000400080015563,-0.23000400080015562
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-12-20,2011-12-21,2011-12-21,2.9639287446243,0.4969973079312462,0.2869973079312462
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-01-03,2012-01-04,2012-01-04,1.9165293110673165,-1.171332142148107,-1.381332142148107
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-01-18,2012-01-19,2012-01-19,1.3285522128008154,0.8274231678486954,0.6174231678486954
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-01-25,2012-01-26,2012-01-26,1.2566776286675907,-0.5500758725341282,-0.7600758725341281
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-02-03,2012-02-06,2012-02-06,1.3722673244992434,-0.977811207220769,-1.187811207220769
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-02-16,2012-02-17,2012-02-17,1.370061134717382,0.185804533630618,-0.024195466369381996
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-02-28,2012-02-29,2012-02-29,1.0148027268461313,0.7068452380952328,0.49684523809523284
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-03-08,2012-03-09,2012-03-09,1.0771085740976183,0.03714020427112441,-0.17285979572887558
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-03-13,2012-03-14,2012-03-14,1.8601339515809334,0.05478451424396624,-0.15521548575603375
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-03-26,2012-03-27,2012-03-27,1.7477992371199624,0.0,-0.21
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-04-02,2012-04-03,2012-04-03,1.0362596408937108,0.8207185847163734,0.6107185847163734
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-04-12,2012-04-13,2012-04-13,1.14375258686632,0.07388252678242058,-0.13611747321757942
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-04-17,2012-04-18,2012-04-18,2.032080777567624,-0.3867403314917084,-0.5967403314917084
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-04-25,2012-04-26,2012-04-26,2.657192960183141,-0.35613870665417435,-0.5661387066541743
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-05-21,2012-05-22,2012-05-22,2.795577048765141,0.1025430680885897,-0.10745693191141029
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-05-29,2012-05-30,2012-05-30,1.2727458888569743,-0.6071645415907767,-0.8171645415907767
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-06-06,2012-06-07,2012-06-07,2.2906324936357914,0.38633590890604363,0.17633590890604364
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-06-12,2012-06-13,2012-06-13,1.213408684948658,-0.3404084901882265,-0.5504084901882265
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-06-15,2012-06-18,2012-06-18,1.2424205130474375,0.23800079333597957,0.028000793335979574
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-06-19,2012-06-20,2012-06-20,1.038048588273277,-0.33333333333334103,-0.543333333333341
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-06-22,2012-06-25,2012-06-25,1.052806447721566,-1.386905975933117,-1.596905975933117
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2012-06-29,2012-07-02,2012-07-02,3.1511276345874473,-0.8477997577715057,-1.0577997577715057
